session,center,auc,null_mean,z
32d27583-56aa-4510-bc03-669036edad20,-0.65,0.5413548716199063,0.5026798138106484,0.7742421592854913
32d27583-56aa-4510-bc03-669036edad20,-0.6,0.504061716988631,0.49909042371232454,0.1001009185204338
32d27583-56aa-4510-bc03-669036edad20,-0.55,0.5545079131400937,0.49581842295271367,1.1654669707102254
32d27583-56aa-4510-bc03-669036edad20,-0.5,0.5598077406101674,0.49940291145172694,1.3990175193064502
32d27583-56aa-4510-bc03-669036edad20,-0.45,0.5362294807296115,0.4839226500299656,0.916387007514498
32d27583-56aa-4510-bc03-669036edad20,-0.4,0.5110828925372206,0.492796105419737,0.33333006686743516
32d27583-56aa-4510-bc03-669036edad20,-0.35,0.5189055566989077,0.5036138771013519,0.2632127309576177
32d27583-56aa-4510-bc03-669036edad20,-0.3,0.5048486337528528,0.5026215007909663,0.05078691141985839
32d27583-56aa-4510-bc03-669036edad20,-0.25,0.5071124487160285,0.4961583890671088,0.18219377780705096
32d27583-56aa-4510-bc03-669036edad20,-0.2,0.5011976632450613,0.4914692461036057,0.16178775051828997
32d27583-56aa-4510-bc03-669036edad20,-0.15,0.5229022111384255,0.49549219183041193,0.4571493762960426
32d27583-56aa-4510-bc03-669036edad20,-0.1,0.49655456248646995,0.504366122387393,-0.13914954513082145
32d27583-56aa-4510-bc03-669036edad20,-0.05,0.5253591553777882,0.4799788043719078,0.8272481123442204
32d27583-56aa-4510-bc03-669036edad20,0.0,0.6101796701254424,0.49693001748931864,2.252604288670697
32d27583-56aa-4510-bc03-669036edad20,0.05,0.6625532392075036,0.5012735729152196,2.7400740184379666
32d27583-56aa-4510-bc03-669036edad20,0.1,0.722866488174701,0.506503923129578,3.618749737516568
32d27583-56aa-4510-bc03-669036edad20,0.15,0.7468050717783378,0.48341439821193644,4.509783335986386
32d27583-56aa-4510-bc03-669036edad20,0.2,0.749037264627595,0.5102610961274727,4.195847211850987
32d27583-56aa-4510-bc03-669036edad20,0.25,0.7420512117096448,0.4952475532966351,4.360336238087782
32d27583-56aa-4510-bc03-669036edad20,0.3,0.7076699182373014,0.4961757446783314,3.5793111279993406
32d27583-56aa-4510-bc03-669036edad20,0.35,0.654475480541705,0.494001895165396,3.6563558182090787
32d27583-56aa-4510-bc03-669036edad20,0.4,0.621906074313049,0.4960791543273696,2.7538048566776148
5386aba9-9b97-4557-abcd-abc2da66b863,-1.1,0.5643678147636373,0.5023171271765707,1.908424556220324
5386aba9-9b97-4557-abcd-abc2da66b863,-1.05,0.5859807194325097,0.49773297834379987,3.085217263671942
5386aba9-9b97-4557-abcd-abc2da66b863,-1.0,0.5836697513656854,0.499631662740823,2.5296187901804887
5386aba9-9b97-4557-abcd-abc2da66b863,-0.95,0.587299535690353,0.5008687182845125,2.874955464839091
5386aba9-9b97-4557-abcd-abc2da66b863,-0.9,0.5819865083638306,0.5059420302872479,2.4089734698118384
5386aba9-9b97-4557-abcd-abc2da66b863,-0.85,0.5993535869061415,0.5018302026247192,3.237726448347677
5386aba9-9b97-4557-abcd-abc2da66b863,-0.8,0.6124721250156903,0.5000194707276564,2.9541336210938156
5386aba9-9b97-4557-abcd-abc2da66b863,-0.75,0.6257356839648119,0.5067987743904727,3.6227472931785676
5386aba9-9b97-4557-abcd-abc2da66b863,-0.7,0.6017663704644937,0.49700632652504495,3.4096807039101646
5386aba9-9b97-4557-abcd-abc2da66b863,-0.65,0.6015693005910623,0.5039240224358273,2.807390679421346
5386aba9-9b97-4557-abcd-abc2da66b863,-0.6,0.5970631450345711,0.5012200967260749,2.6643998274371703
5386aba9-9b97-4557-abcd-abc2da66b863,-0.55,0.5794138960772487,0.49642743872922535,2.487762410960563
5386aba9-9b97-4557-abcd-abc2da66b863,-0.5,0.5689986183100693,0.501875704011319,2.273270124074612
5386aba9-9b97-4557-abcd-abc2da66b863,-0.45,0.541142364577272,0.4979448031075558,1.2815993144208284
5386aba9-9b97-4557-abcd-abc2da66b863,-0.4,0.5607774417552113,0.500681575929266,1.8063611862761544
5386aba9-9b97-4557-abcd-abc2da66b863,-0.35,0.5420054726561078,0.5055442770394645,1.1106842324184958
5386aba9-9b97-4557-abcd-abc2da66b863,-0.3,0.526659776229026,0.5026695678988373,0.7141688421823086
5386aba9-9b97-4557-abcd-abc2da66b863,-0.25,0.572775443202081,0.5001272215837715,2.4601686899435964
5386aba9-9b97-4557-abcd-abc2da66b863,-0.2,0.5426120588362581,0.5028175940635459,1.2726102040684644
5386aba9-9b97-4557-abcd-abc2da66b863,-0.15,0.5714704399618615,0.4977442087863216,2.035174892568748
5386aba9-9b97-4557-abcd-abc2da66b863,-0.1,0.5834918344929332,0.4939983921565992,2.5045328296247704
5386aba9-9b97-4557-abcd-abc2da66b863,-0.05,0.5693127791118254,0.5021242439783445,2.023874290597415
5386aba9-9b97-4557-abcd-abc2da66b863,0.0,0.5694257704732933,0.49727980504822605,2.2539648926212967
5386aba9-9b97-4557-abcd-abc2da66b863,0.05,0.5918377678779626,0.5006622207933544,2.6650328954255333
5386aba9-9b97-4557-abcd-abc2da66b863,0.1,0.6000482997687769,0.5001668839242059,2.5933175720787873
5386aba9-9b97-4557-abcd-abc2da66b863,0.15,0.6463479011183082,0.5050306227688907,4.422949334183185
5386aba9-9b97-4557-abcd-abc2da66b863,0.2,0.6526321082338529,0.4996025006402292,5.036504062086611
5386aba9-9b97-4557-abcd-abc2da66b863,0.25,0.6609809877952669,0.5007771012773936,4.479943617421137
5386aba9-9b97-4557-abcd-abc2da66b863,0.3,0.6895937129052118,0.5011492875224137,5.2090314244841265
5386aba9-9b97-4557-abcd-abc2da66b863,0.35,0.6812015166900397,0.5002409905310328,5.0698997186312384
5386aba9-9b97-4557-abcd-abc2da66b863,0.4,0.6472169127448936,0.5028533044363837,4.410574783325273
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-1.1,0.3994204698084671,0.4888951514517225,-1.6599723379659088
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-1.05,0.4826232411673626,0.4893027706922486,-0.10638542865475571
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-1.0,0.4569470133456099,0.49684498764658275,-0.6501810919303163
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-0.95,0.5313000513020404,0.4929789009870698,0.6306308155369973
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-0.9,0.5079600865925747,0.49353464191970436,0.23125118121385016
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-0.85,0.48931198803119946,0.49233156441413967,-0.04785311684298096
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-0.8,0.5153747548667781,0.493195192565665,0.35712547052216437
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-0.75,0.5035324674129896,0.48145944071904245,0.41996958690847935
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-0.7,0.4890224343473536,0.4852643532228093,0.062299420955161555
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-0.65,0.4564110492981687,0.4772641323587631,-0.3388973219432835
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-0.6,0.5278980288924738,0.48433714126230093,0.7452058052020556
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-0.55,0.5224099817923734,0.470818276651516,0.8378766485732346
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-0.5,0.4924377720026647,0.4703984342501284,0.37698847977858696
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-0.45,0.5416118607090536,0.47598540600126577,1.1379484048089432
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-0.4,0.5276396900757132,0.46701476783872164,0.9903187015317322
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-0.35,0.5010926191134714,0.49172342582483025,0.13791648267869797
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-0.3,0.5305017248987927,0.4960462481063165,0.5555332266342202
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-0.25,0.4741500196339141,0.4906942803899081,-0.30251869874577225
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,-0.2,0.4821097712442004,0.5074126563460762,-0.4303291126194801
