session,region,location,firing_rate,beta,significant
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,8.30279322508643,-0.09415855,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,11.37765686003626,0.05011713,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,10.782909376699706,0.047658894,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,9.385070032633019,-0.025842227,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,12.13497213659387,0.00084228814,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,5.401810987810938,-0.093526624,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,8.367715909102975,-0.08317428,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,8.644812190481902,-0.016371407,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,6.4557167564977505,0.0733888,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,5.3621263444978755,-0.04549595,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,17.416858917199985,0.06983897,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,5.713892415268486,0.1599522,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,9.07925460148806,-0.008331661,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,4.984077900305017,0.1292984,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,11.65127203235264,0.0338088,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,10.056575970798788,-0.00295222,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,17.485262710279077,0.018441506,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,12.174656779906933,0.043250673,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,1.673543181820595,-0.020789176,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,27.356469623497112,-0.03677448,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,3.4370730329080903,0.110680886,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,9.993741952219771,-0.07858655,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,14.81560017020999,-0.045663744,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,25.466575513439075,-0.004772934,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,11.67250679763419,-0.09744441,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,9.373234261820352,0.010451242,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,4.828646380662189,-0.13786826,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,14.259144886561478,-0.036486004,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,16.22440500782371,0.042608384,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,18.691641055905553,0.037849475,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,6.450495092903926,-0.0053151622,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,15.353431520373862,-0.06303096,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,14.694979741192656,0.008700456,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,1.6044431669289907,-0.2742529,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,16.44824032054563,0.04275865,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,16.041124615680484,-0.044569474,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,14.317279407906051,-0.018513154,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,13.080615413435398,-0.0051593096,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,5.684477043689944,-0.014883281,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,19.63049617007511,-0.014587917,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,34.474641434598006,-0.014905618,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,5.23402153099606,0.010896042,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,15.832780238286906,0.04559424,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,8.722614978029881,-0.012582818,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,16.702187226658605,0.0062289224,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,10.281629671692603,-0.016025804,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,13.177390245374271,-0.045547213,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,10.687004822026474,0.016558077,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,14.267325492858468,0.034375295,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,15.85244850449031,0.00753967,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,17.571246104124047,-0.061173763,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,2.4595776081442358,-0.4282014,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,13.371636131064523,-0.01517239,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,12.83450100271316,-0.038905207,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,24.362019607892172,0.018581243,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,1.1769629740479317,0.06514087,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,9.16732666077056,0.043519247,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,4.495504243376217,0.06682631,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,11.105608186798031,-0.032327767,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,12.908822681198588,-0.04246763,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,5.0587476896967,0.02001836,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,13.57528101122366,-0.054310337,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,9.75807086868518,-0.020107377,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,8.929740967251567,0.11596403,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,15.431756474281222,0.029594908,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,7.568627323794774,-0.05156102,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,16.219183344229883,0.05591438,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,15.544544407907821,-0.005872148,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,1.0424181087803996,-0.055974413,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,4.190036923137512,0.067115135,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,4.239816782731968,-0.021005066,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,8.533590755933451,-0.0048658554,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,8.323331768555471,-0.024028877,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,17.45219217418486,0.00600892,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,8.84288729614096,-0.057226416,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,5.07180184868126,0.08991128,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,2.7222272869135837,0.09516169,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,1.915828372574029,-0.2281207,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,2.997060847401854,0.046213116,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,24.356275777938965,0.006277365,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,16.886511951520593,0.15823062,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,2.75547187846093,-0.056859285,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,7.8582555977988795,0.01969544,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,21.547891041727286,-0.02723108,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,8.061378311598633,0.013561913,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,1.5003580059587653,-0.04218581,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,4.782869796489665,0.13344377,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,3.1232510509192677,-0.06934696,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,17.286839493713767,0.02743987,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,10.369179564615719,-0.07166117,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,1.8016479953224107,0.053228896,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,14.129647629434642,0.024611559,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,19.53842083537068,-0.032465085,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,7.229393245649341,-0.014153704,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,29.260462225258475,-0.01048929,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,6.411854782309629,-0.15217979,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,1.5530968082563879,-0.042603742,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,6.935761696223304,0.084654756,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,4.817332776208904,-0.061707426,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,1.8665706793389558,0.24305514,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,11.953606354435049,-0.0019029584,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,4.560426927392762,0.042785816,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,7.8486825478768685,0.11357767,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,8.87369511134452,0.0453766,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,3.83496379875748,-0.11705021,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,15.516695535407427,0.0043832855,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,5.434185302092646,0.16175899,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,3.5033881605496555,0.4196519,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,8.462402075604317,0.032452513,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,15.87437949158437,-0.018871337,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,15.702238648441305,0.07647904,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,10.352296185662354,-0.059714213,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,10.344463690271617,0.033283245,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,5.712848082549721,0.030090498,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,12.298584262533689,-0.022404756,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,1.0062145745298867,0.006326407,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,11.108567129501198,0.06642288,False
1191f865-b10a-45c8-9c48-24a980fd9402,cortex_other,Dorsal peduncular area,8.470060515541926,-0.03797735,False
