session,region,window,n_trials,n_units,auc,null_mean,null_sd,z,p
aa20388b-9ea3-4506-92f1-3c2be84b85db,olfactory,pre,429,116,0.6500568097040994,0.5154307683386621,0.0702170348657168,1.9172846250613749,0.021956087824351298
aa20388b-9ea3-4506-92f1-3c2be84b85db,striatum,pre,429,120,0.6587437361365122,0.5089530059558252,0.05935804911545945,2.5235116789186205,0.005988023952095809
bd456d8f-d36e-434a-8051-ff3997253802,ALL,pre,540,504,0.7258766737419183,0.5262399537045471,0.07537868521905379,2.64845054616193,0.005988023952095809
bd456d8f-d36e-434a-8051-ff3997253802,ALL,early,540,504,0.6453122005443008,0.5248537767623119,0.07531053588904185,1.5994896644934955,0.05588822355289421
bd456d8f-d36e-434a-8051-ff3997253802,cortex_other,pre,540,53,0.5185086174609971,0.5061914781584907,0.050755523772330294,0.24267583874725177,0.42115768463073855
bd456d8f-d36e-434a-8051-ff3997253802,motor_ctx,pre,540,120,0.6665712014004439,0.5156382395752778,0.07704129321632631,1.959117708491178,0.021956087824351298
bd456d8f-d36e-434a-8051-ff3997253802,striatum,pre,540,120,0.6624702703957738,0.523973157426517,0.07065007127014786,1.9603251699446866,0.031936127744510975
bd456d8f-d36e-434a-8051-ff3997253802,thalamus,pre,540,120,0.621610005125441,0.513433412691802,0.051799770159768714,2.088360471484416,0.013972055888223553
cb2ad999-a6cb-42ff-bf71-1774c57e5308,ALL,pre,782,582,0.6097529907599137,0.5001503490482067,0.05530276860673818,1.9818653653870217,0.015968063872255488
cb2ad999-a6cb-42ff-bf71-1774c57e5308,ALL,early,782,582,0.647603839066931,0.5035484174341576,0.0542065887124115,2.657526050883728,0.005988023952095809
cb2ad999-a6cb-42ff-bf71-1774c57e5308,hippocampus,pre,782,120,0.47820916406109104,0.49247685945861275,0.0466711949585371,-0.3057066657538379,0.6287425149700598
cb2ad999-a6cb-42ff-bf71-1774c57e5308,hypothalamus,pre,782,43,0.632881537600869,0.4967793776716859,0.06223403262199431,2.186941038448516,0.017964071856287425
cb2ad999-a6cb-42ff-bf71-1774c57e5308,midbrain,pre,782,55,0.5896105641034647,0.4913955551862392,0.047359618039933354,2.0738133663664935,0.013972055888223553
cb2ad999-a6cb-42ff-bf71-1774c57e5308,motor_ctx,pre,782,120,0.4875840378717617,0.4873123855951483,0.06059004964166283,0.004483447005242539,0.499001996007984
cb2ad999-a6cb-42ff-bf71-1774c57e5308,thalamus,pre,782,120,0.6147519865804106,0.5059783542014993,0.05047714015498764,2.154908777417404,0.01996007984031936
cde63527-7f5a-4cc3-8ac2-215d82e7da26,ALL,pre,418,283,0.5807940042045526,0.5148767744950214,0.0835682642598142,0.7887830421437754,0.2155688622754491
cde63527-7f5a-4cc3-8ac2-215d82e7da26,ALL,early,418,283,0.4919848185033039,0.5150077505485785,0.08351006642577895,-0.2756905009258573,0.6107784431137725
