session,group,n_units,rep,accuracy,shuffled
715093703,visual cortex,4,13,0.5893306150186884,0.26158681617397217
715093703,visual cortex,4,14,0.3468684561203122,0.26514372739387015
715093703,visual cortex,8,0,0.49574567554932214,0.24560542309490416
715093703,visual cortex,8,1,0.5258532024310425,0.22615708274894814
715093703,visual cortex,8,2,0.6814475025484199,0.2082398912674142
715093703,visual cortex,8,3,0.8491117344553529,0.26063581112669476
715093703,visual cortex,8,4,0.6594202898550725,0.27599345488546045
715093703,visual cortex,8,5,0.7662249405368671,0.23216106014271148
715093703,visual cortex,8,6,0.8490485898742779,0.23572884811416922
715093703,visual cortex,8,7,0.6855462184873949,0.2541456582633054
715093703,visual cortex,8,8,0.5149368863955119,0.2866526414212248
715093703,visual cortex,8,9,0.8251274209989807,0.26325178389398574
715093703,visual cortex,8,10,0.5623889668069191,0.25864890135577373
715093703,visual cortex,8,11,0.5690042075736325,0.29102384291725103
715093703,visual cortex,8,12,0.6762992575671045,0.2533599847706073
715093703,visual cortex,8,13,0.46545114539504445,0.2415147265077139
715093703,visual cortex,8,14,0.7090044172612979,0.20265035677879717
715093703,visual cortex,16,0,0.7844319775596074,0.23277232351566152
715093703,visual cortex,16,1,0.9288920056100982,0.2651472650771388
715093703,visual cortex,16,2,0.8621318373071528,0.27805049088359046
715093703,visual cortex,16,3,0.8512622720897616,0.2845254791958859
715093703,visual cortex,16,4,0.913838242169238,0.18534361851332398
715093703,visual cortex,16,5,0.95684899485741,0.26061243571762505
715093703,visual cortex,16,6,0.7434315100514259,0.25862552594670407
715093703,visual cortex,16,7,0.8146797568957457,0.24992987377279102
715093703,visual cortex,16,8,0.9569424964936888,0.25864890135577373
715093703,visual cortex,16,9,0.915965404394577,0.26089294062646096
715093703,visual cortex,16,10,0.8894665307509344,0.2467210329595651
715093703,visual cortex,16,11,0.8491584852734924,0.26715755025712945
715093703,visual cortex,16,12,0.7606591865357644,0.20472183263207105
715093703,visual cortex,16,13,0.8674481821270813,0.2596160380564051
715093703,visual cortex,16,14,0.9504207573632538,0.23272557269752223
715093703,visual cortex,32,0,0.9418186068256194,0.21117344553529688
715093703,visual cortex,32,1,0.9611968209443665,0.29097709209911177
715093703,visual cortex,32,2,0.9676718092566621,0.24794296400187005
715093703,visual cortex,32,3,0.9568957456755494,0.22414679756895745
715093703,visual cortex,32,4,0.9784712482468443,0.22840112201963536
715093703,visual cortex,32,5,0.9460729312762973,0.28006077606358104
715093703,visual cortex,32,6,0.9310425432445069,0.27374941561477323
715093703,visual cortex,32,7,0.9677185600748013,0.2887798036465638
715093703,visual cortex,32,8,0.9763207106124356,0.26500701262272086
715093703,visual cortex,32,9,0.9805984104721833,0.24135109864422627
715093703,visual cortex,32,10,0.9590930341280973,0.2220430107526882
715093703,visual cortex,32,11,0.9784712482468443,0.22190275829827022
715093703,visual cortex,32,12,0.9784244974287051,0.23066853669939227
715093703,visual cortex,32,13,0.9719728845254793,0.20049088359046285
715093703,visual cortex,32,14,0.9396213183730715,0.24135109864422627
715093703,LGd,1,0,0.2977450980392157,0.22752100840336134
715093703,LGd,1,1,0.292703081232493,0.24746498599439776
715093703,LGd,1,2,0.5116526610644258,0.2658403361344538
715093703,LGd,1,3,0.3394817927170869,0.2760084033613446
715093703,LGd,1,4,0.4064005602240896,0.24404761904761907
715093703,LGd,1,5,0.2876330532212885,0.26761904761904765
715093703,LGd,1,6,0.44485994397759104,0.26753501400560226
715093703,LGd,1,7,0.3309943977591036,0.259187675070028
715093703,LGd,1,8,0.27261904761904765,0.2775490196078431
715093703,LGd,1,9,0.3378151260504202,0.2775490196078432
715093703,LGd,1,10,0.5066526610644257,0.27254901960784317
715093703,LGd,1,11,0.30263305322128853,0.2541736694677871
715093703,LGd,1,12,0.2909663865546218,0.2458403361344538
715093703,LGd,1,13,0.3059523809523809,0.2357983193277311
715093703,LGd,1,14,0.5116526610644258,0.2692016806722689
715093703,LGd,2,0,0.5234173669467787,0.26598039215686275
715093703,LGd,2,1,0.31950980392156864,0.24422969187675073
715093703,LGd,2,2,0.34950980392156866,0.23750700280112044
715093703,LGd,2,3,0.4397478991596639,0.2758263305322129
715093703,LGd,2,4,0.3579131652661064,0.2826610644257703
715093703,LGd,2,5,0.3361204481792717,0.2574929971988796
715093703,LGd,2,6,0.31436974789915967,0.2559383753501401
715093703,LGd,2,7,0.3276190476190476,0.22564425770308122
715093703,LGd,2,8,0.5987114845938375,0.2492156862745098
715093703,LGd,2,9,0.4398459383753501,0.2308263305322129
715093703,LGd,2,10,0.3511344537815126,0.22750700280112043
715093703,LGd,2,11,0.31773109243697484,0.2709103641456583
715093703,LGd,2,12,0.3495098039215686,0.25088235294117645
715093703,LGd,2,13,0.28939775910364146,0.2457563025210084
715093703,LGd,2,14,0.3846078431372549,0.27598039215686276
715093703,LGd,4,0,0.5033193277310924,0.27088235294117646
715093703,LGd,4,1,0.5467507002801121,0.23567226890756304
715093703,LGd,4,2,0.5099719887955182,0.26242296918767505
715093703,LGd,4,3,0.37637254901960787,0.2758403361344538
715093703,LGd,4,4,0.4549579831932773,0.2692857142857143
715093703,LGd,4,5,0.5803501400560225,0.24574229691876753
715093703,LGd,4,6,0.36126050420168065,0.24081232492997198
715093703,LGd,4,7,0.48994397759103636,0.23565826330532208
715093703,LGd,4,8,0.431624649859944,0.2609243697478992
715093703,LGd,4,9,0.46317927170868345,0.25917366946778714
715093703,LGd,4,10,0.3831512605042017,0.21239495798319327
